Province,Country,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,,,,,,,,,,,,,,,,
,Chad,3689,3724,3751,3776,3794,3849,3868,3882,3904,3934,3957,3973,3973,3986,3999,4056,4089,4089,4161,4177,4193,4214,4231,4246,4274,4288,4309,4328,35,27,25,18,55,19,14,22,30,23,16,0,13,13,57,33,0,72,16,16,21,17,15,28,14,21,19,,,,,,,,,,,,,,,,
,Chile,782039,784314,788142,791939,795845,799460,803009,805317,807872,812344,816929,821418,824625,829770,832512,835552,840119,845450,850483,855785,860533,864064,867949,873512,879485,885379,891110,896231,2275,3828,3797,3906,3615,3549,2308,2555,4472,4585,4489,3207,5145,2742,3040,4567,5331,5033,5302,4748,3531,3885,5563,5973,5894,5731,5121,,,,,,,,,,,,,,,,
Anhui,China,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Beijing,China,1046,1046,1046,1046,1046,1047,1047,1047,1047,1047,1047,1047,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Chongqing,China,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Fujian,China,548,548,548,548,548,549,549,549,549,549,549,551,551,551,551,551,551,551,551,552,552,552,553,553,553,555,556,556,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,,,,,,,,,,,,,,,,
Gansu,China,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Guangdong,China,2177,2180,2180,2183,2184,2187,2196,2196,2198,2200,2205,2206,2212,2215,2218,2221,2222,2225,2229,2233,2235,2236,2238,2240,2243,2244,2245,2245,3,0,3,1,3,9,0,2,2,5,1,6,3,3,3,1,3,4,4,2,1,2,2,3,1,1,0,,,,,,,,,,,,,,,,
Guangxi,China,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Guizhou,China,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
