Province,Country,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,,,,,,,,,,,,,,,,
,Tajikistan,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Tanzania,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Thailand,24786,24961,25111,25241,25323,25504,25504,25692,25692,25764,25809,25951,26031,26031,26073,26108,26162,26241,26305,26441,26441,26501,26540,26598,26679,26927,27005,27154,175,150,130,82,181,0,188,0,72,45,142,80,0,42,35,54,79,64,136,0,60,39,58,81,248,78,149,,,,,,,,,,,,,,,,
,Timor-Leste,102,102,103,103,103,103,103,107,109,110,110,111,113,113,113,113,113,119,119,122,129,142,145,159,170,178,196,203,0,1,0,0,0,0,4,2,1,0,1,2,0,0,0,0,6,0,3,7,13,3,14,11,8,18,7,,,,,,,,,,,,,,,,
,Togo,5953,6007,6085,6182,6268,6319,6348,6466,6548,6637,6730,6851,6901,6933,7086,7188,7323,7428,7521,7570,7598,7680,7737,7857,7953,7953,8070,8222,54,78,97,86,51,29,118,82,89,93,121,50,32,153,102,135,105,93,49,28,82,57,120,96,0,117,152,,,,,,,,,,,,,,,,
,Trinidad and Tobago,7656,7663,7666,7666,7676,7680,7682,7686,7690,7697,7704,7705,7713,7716,7717,7723,7727,7729,7732,7736,7736,7736,7743,7753,7759,7769,7783,7788,7,3,0,10,4,2,4,4,7,7,1,8,3,1,6,4,2,3,4,0,0,7,10,6,10,14,5,,,,,,,,,,,,,,,,
,Tunisia,224329,225116,226015,226740,227643,228362,228937,229781,230443,231298,231964,232615,233277,233669,234231,235008,235643,236356,237028,237704,238017,238613,239368,239977,240617,241257,241834,242124,787,899,725,903,719,575,844,662,855,666,651,662,392,562,777,635,713,672,676,313,596,755,609,640,640,577,290,,,,,,,,,,,,,,,,
,Turkey,2602034,2609359,2616600,2624019,2631876,2638422,2646526,2655633,2665194,2674766,2683971,2693164,2701588,2711479,2723316,2734836,2746158,2757460,2769230,2780417,2793632,2807387,2821943,2835989,2850930,2866012,2879390,2894893,7325,7241,7419,7857,6546,8104,9107,9561,9572,9205,9193,8424,9891,11837,11520,11322,11302,11770,11187,13215,13755,14556,14046,14941,15082,13378,15503,,,,,,,,,,,,,,,,
,US,27825319,27895423,27964979,28044574,28116088,28173139,28229362,28301617,28376317,28453812,28530741,28595134,28646373,28705285,28762326,28829520,28897518,28963921,29022116,29063082,29108096,29165791,29223730,29286134,29347338,29400553,29438775,29495424,70104,69556,79595,71514,57051,56223,72255,74700,77495,76929,64393,51239,58912,57041,67194,67998,66403,58195,40966,45014,57695,57939,62404,61204,53215,38222,56649,,,,,,,,,,,,,,,,
,Uganda,40063,40102,40154,40168,40199,40213,40221,40243,40261,40300,40322,40335,40357,40367,40395,40408,40426,40452,40452,40464,40479,40490,40520,40535,40544,40544,40581,40591,39,52,14,31,14,8,22,18,39,22,13,22,10,28,13,18,26,0,12,15,11,30,15,9,0,37,10,,,,,,,,,,,,,,,,
,Ukraine,1322406,1326891,1333332,1340054,1346527,1351190,1354545,1358871,1364861,1373139,1381273,1389570,1395528,1399934,1405394,1412748,1422927,1433200,1442457,1449741,1455421,1458785,1465265,1474452,1487497,1500873,1509983,1516865,4485,6441,6722,6473,4663,3355,4326,5990,8278,8134,8297,5958,4406,5460,7354,10179,10273,9257,7284,5680,3364,6480,9187,13045,13376,9110,6882,,,,,,,,,,,,,,,,
,United Arab Emirates,355131,358583,361877,365017,368175,370425,372530,375535,378637,381662,385160,388594,391524,394050,396771,399463,402205,405277,408236,410849,413332,415705,417909,419996,422246,424405,426397,428295,3452,3294,3140,3158,2250,2105,3005,3102,3025,3498,3434,2930,2526,2721,2692,2742,3072,2959,2613,2483,2373,2204,2087,2250,2159,1992,1898,,,,,,,,,,,,,,,,
Anguilla,United Kingdom,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,
Bermuda,United Kingdom,695,697,699,699,699,699,699,703,703,705,705,705,705,707,713,713,718,722,722,722,724,724,731,732,732,735,735,740,2,2,0,0,0,0,4,0,2,0,0,0,2,6,0,5,4,0,0,2,0,7,1,0,3,0,5,,,,,,,,,,,,,,,,
British Virgin Islands,United Kingdom,114,114,114,114,114,114,114,114,114,114,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Cayman Islands,United Kingdom,419,419,425,428,428,428,431,431,431,438,444,444,444,447,447,447,448,451,451,451,451,460,460,463,468,468,468,474,0,6,3,0,0,3,0,0,7,6,0,0,3,0,0,1,3,0,0,0,9,0,3,5,0,0,6,,,,,,,,,,,,,,,,
Channel Islands,United Kingdom,4009,4013,4016,4023,4025,4026,4030,4030,4031,4032,4033,4034,4038,4038,4039,4040,4041,4041,4041,4041,4042,4043,4043,4043,4043,4043,4043,4044,4,3,7,2,1,4,0,1,1,1,1,4,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),United Kingdom,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Gibraltar,United Kingdom,4224,4226,4227,4228,4228,4228,4232,4234,4234,4235,4236,4238,4239,4239,4243,4243,4243,4244,4247,4249,4249,4255,4256,4259,4263,4263,4263,4263,2,1,1,0,0,4,2,0,1,1,2,1,0,4,0,0,1,3,2,0,6,1,3,4,0,0,0,,,,,,,,,,,,,,,,
Isle of Man,United Kingdom,437,437,444,449,450,450,456,462,470,475,475,484,484,486,494,511,546,605,676,757,865,952,1026,1091,1157,1234,1278,1307,0,7,5,1,0,6,6,8,5,0,9,0,2,8,17,35,59,71,81,108,87,74,65,66,77,44,29,,,,,,,,,,,,,,,,
Montserrat,United Kingdom,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Turks and Caicos Islands,United Kingdom,1874,1909,1928,1984,2028,2028,2029,2051,2051,2070,2088,2099,2114,2114,2115,2132,2161,2172,2177,2177,2177,2177,2190,2200,2200,2200,2233,2233,35,19,56,44,0,1,22,0,19,18,11,15,0,1,17,29,11,5,0,0,0,13,10,0,0,33,0,,,,,,,,,,,,,,,,
,United Kingdom,4058468,4071185,4083242,4095269,4105675,4115509,4126150,4134639,4144577,4154562,4163085,4170519,4176554,4182009,4188400,4194785,4201358,4207304,4213343,4218520,4223232,4228998,4234924,4241677,4248286,4253820,4258438,4263527,12717,12057,12027,10406,9834,10641,8489,9938,9985,8523,7434,6035,5455,6391,6385,6573,5946,6039,5177,4712,5766,5926,6753,6609,5534,4618,5089,,,,,,,,,,,,,,,,
,Uruguay,49725,50208,50752,51377,52163,52815,53310,53973,54874,55695,56542,57362,57994,58589,59171,60074,60945,61929,63010,63837,64700,65527,66484,67717,69074,70133,71691,72862,483,544,625,786,652,495,663,901,821,847,820,632,595,582,903,871,984,1081,827,863,827,957,1233,1357,1059,1558,1171,,,,,,,,,,,,,,,,
,Uzbekistan,79461,79497,79548,79598,79632,79654,79681,79717,79749,79773,79804,79836,79926,79926,79961,80035,80035,80081,80125,80176,80219,80247,80268,80392,80392,80481,80567,80678,36,51,50,34,22,27,36,32,24,31,32,90,0,35,74,0,46,44,51,43,28,21,124,0,89,86,111,,,,,,,,,,,,,,,,
,Vanuatu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Venezuela,133927,134319,134781,135114,135603,136068,136545,136986,137445,137871,138295,138739,139116,139545,139934,140383,140960,141356,141885,142338,142774,143321,143321,144277,144786,145379,145379,146488,392,462,333,489,465,477,441,459,426,424,444,377,429,389,449,577,396,529,453,436,547,0,956,509,593,0,1109,,,,,,,,,,,,,,,,
,Vietnam,2311,2329,2347,2362,2368,2383,2392,2403,2412,2421,2426,2432,2448,2448,2475,2482,2488,2494,2501,2512,2524,2526,2529,2533,2550,2553,2554,2557,18,18,15,6,15,9,11,9,9,5,6,16,0,27,7,6,6,7,11,12,2,3,4,17,3,1,3,,,,,,,,,,,,,,,,
,West Bank and Gaza,169487,170527,171154,171717,172315,173635,174969,176377,177768,179293,180848,181909,183612,185336,187309,189326,191203,193029,194548,196812,198554,200382,202378,203669,205652,207436,209304,211602,1040,627,563,598,1320,1334,1408,1391,1525,1555,1061,1703,1724,1973,2017,1877,1826,1519,2264,1742,1828,1996,1291,1983,1784,1868,2298,,,,,,,,,,,,,,,,
,Yemen,2148,2151,2154,2157,2157,2165,2176,2187,2221,2255,2267,2269,2285,2310,2342,2363,2375,2411,2444,2473,2545,2586,2627,2667,2729,2771,2836,2908,3,3,3,0,8,11,11,34,34,12,2,16,25,32,21,12,36,33,29,72,41,41,40,62,42,65,72,,,,,,,,,,,,,,,,
,Zambia,70823,71677,72467,73203,73894,74503,75027,75582,76484,77171,77639,78202,78534,79002,79557,80090,80687,81341,82011,82421,82655,82897,83333,83913,84240,84474,84797,84950,854,790,736,691,609,524,555,902,687,468,563,332,468,555,533,597,654,670,410,234,242,436,580,327,234,323,153,,,,,,,,,,,,,,,,
,Zimbabwe,35315,35423,35543,35710,35768,35796,35862,35910,35960,35994,36044,36058,36089,36115,36148,36179,36223,36248,36260,36271,36289,36321,36341,36377,36423,36471,36484,36504,108,120,167,58,28,66,48,50,34,50,14,31,26,33,31,44,25,12,11,18,32,20,36,46,48,13,20,,,,,,,,,,,,,,,,
